f0,f1,f2,f3,f4,f5,f6,f7,success
0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.5625,0.5000,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.5625,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.5625,0.5833,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.5625,0.5833,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.6250,0.5833,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6250,0.5833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6250,0.6667,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6250,0.6667,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.6875,0.6667,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6875,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6875,0.7500,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6875,0.7500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7500,0.7500,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7500,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7500,0.8333,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7500,0.8333,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8125,0.8333,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8125,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8125,0.9167,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8125,0.9167,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8750,0.9167,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8750,0.9167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8750,1.0000,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6362,0.6400,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.6987,0.6400,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6987,0.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6987,0.7233,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6987,0.7233,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7612,0.7233,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7612,0.7233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7612,0.8067,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7612,0.8067,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8237,0.8067,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8237,0.8067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8237,0.8900,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8237,0.8900,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8862,0.8900,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8862,0.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8862,0.9733,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.4813,0.4550,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.5437,0.4550,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.5437,0.4550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.5437,0.5383,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.5437,0.5383,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.6062,0.5383,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6062,0.5383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6062,0.6217,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6062,0.6217,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.6687,0.6217,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6687,0.6217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6687,0.7050,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6687,0.7050,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7312,0.7050,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7312,0.7050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7312,0.7883,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7312,0.7883,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7937,0.7883,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7937,0.7883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7937,0.8717,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7937,0.8717,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8562,0.8717,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8562,0.8717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8562,0.9550,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6062,0.7433,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.6687,0.7433,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6687,0.7433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6687,0.8267,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6687,0.8267,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7312,0.8267,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7312,0.8267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7312,0.9100,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7312,0.9100,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7937,0.9100,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7937,0.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7937,0.9933,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6775,0.2267,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7400,0.2267,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7400,0.2267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.7400,0.3100,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7400,0.3100,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8025,0.3100,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8025,0.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.8025,0.3933,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8025,0.3933,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8650,0.3933,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8650,0.3933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.8650,0.4767,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8650,0.4767,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.9275,0.4767,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.9275,0.4767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.9275,0.5600,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.9275,0.5600,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.9900,0.5600,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.9900,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.9900,0.6433,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.3075,0.8183,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.3700,0.8183,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.3700,0.8183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.3700,0.9017,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6725,0.3117,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7350,0.3117,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7350,0.3117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.7350,0.3950,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7350,0.3950,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7975,0.3950,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7975,0.3950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.7975,0.4783,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7975,0.4783,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8600,0.4783,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8600,0.4783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8600,0.5617,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8600,0.5617,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.9225,0.5617,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.9225,0.5617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.9225,0.6450,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.9225,0.6450,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.9850,0.6450,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.9850,0.6450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.9850,0.7283,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.5625,0.4267,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.6250,0.4267,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6250,0.4267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.6250,0.5100,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6250,0.5100,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.6875,0.5100,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6875,0.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6875,0.5933,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6875,0.5933,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7500,0.5933,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7500,0.5933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7500,0.6767,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7500,0.6767,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8125,0.6767,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8125,0.6767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8125,0.7600,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8125,0.7600,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8750,0.7600,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8750,0.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8750,0.8433,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8750,0.8433,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.9375,0.8433,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.9375,0.8433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.9375,0.9267,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.4425,0.3083,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.5050,0.3083,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.5050,0.3083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.5050,0.3917,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.5050,0.3917,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.5675,0.3917,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.5675,0.3917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.5675,0.4750,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.5675,0.4750,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.6300,0.4750,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6300,0.4750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6300,0.5583,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6300,0.5583,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.6925,0.5583,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6925,0.5583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6925,0.6417,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6925,0.6417,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7550,0.6417,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7550,0.6417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7550,0.7250,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7550,0.7250,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8175,0.7250,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8175,0.7250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8175,0.8083,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8175,0.8083,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8800,0.8083,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8800,0.8083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8800,0.8917,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8800,0.8917,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.9425,0.8917,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.9425,0.8917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.9425,0.9750,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6062,0.6350,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.6687,0.6350,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6687,0.6350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6687,0.7183,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6687,0.7183,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7312,0.7183,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7312,0.7183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7312,0.8017,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7312,0.8017,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7937,0.8017,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7937,0.8017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7937,0.8850,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7937,0.8850,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8562,0.8850,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8562,0.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8562,0.9683,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.4375,0.4233,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.5000,0.4233,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.5000,0.4233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.5000,0.5067,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.5000,0.5067,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.5625,0.5067,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.5625,0.5067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.5625,0.5900,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7812,0.4183,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8438,0.4183,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8438,0.4183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.8438,0.5017,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8438,0.5017,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.9062,0.5017,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.9062,0.5017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.9062,0.5850,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.9062,0.5850,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.9688,0.5850,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.9688,0.5850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.9688,0.6683,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6963,0.3517,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7588,0.3517,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7588,0.3517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.7588,0.4350,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7588,0.4350,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8213,0.4350,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8213,0.4350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.8213,0.5183,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8213,0.5183,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8838,0.5183,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8838,0.5183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8838,0.6017,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8838,0.6017,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.9463,0.6017,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.9463,0.6017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.9463,0.6850,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.3613,0.3900,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.4238,0.3900,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.4238,0.3900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,1
0.4238,0.4733,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.4238,0.4733,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.4863,0.4733,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.4863,0.4733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.4863,0.5567,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.4863,0.5567,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.5487,0.5567,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.5487,0.5567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.5487,0.6400,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.5487,0.6400,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.6112,0.6400,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6112,0.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6112,0.7233,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6112,0.7233,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.6737,0.7233,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6737,0.7233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6737,0.8067,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6737,0.8067,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
