a,b,op,result,success
46,42,2,1932,1
34,35,2,1190,1
14,4,2,56,1
7,32,1,-25,1
24,44,3,0.5454545454545454,1
21,7,3,3.0,1
33,24,3,1.375,1
10,12,2,120,1
29,41,1,-12,1
20,13,2,260,1
10,17,3,0.5882352941176471,1
1,1,3,1.0,1
35,27,2,945,1
21,6,1,15,1
15,22,0,37,1
30,24,3,1.25,1
17,10,3,1.7,1
48,15,3,3.2,1
47,21,0,68,1
48,33,0,81,1
27,1,0,28,1
35,44,1,-9,1
35,28,0,63,1
44,40,3,1.1,1
11,39,2,429,1
28,25,0,53,1
16,37,2,592,1
16,45,2,720,1
23,30,2,690,1
35,35,2,1225,1
6,49,3,0.12244897959183673,1
28,34,3,0.8235294117647058,1
40,15,2,600,1
1,9,3,0.1111111111111111,1
28,7,0,35,1
21,35,0,56,1
18,14,2,252,1
45,19,1,26,1
0,42,3,0.0,1
40,16,3,2.5,1
25,6,0,31,1
37,13,0,50,1
37,29,1,8,1
50,14,2,700,1
36,50,1,-14,1
31,6,0,37,1
35,33,1,2,1
1,44,2,44,1
42,15,0,57,1
19,8,3,2.375,1
14,16,1,-2,1
29,1,3,29.0,1
1,49,2,49,1
6,14,3,0.42857142857142855,1
37,34,0,71,1
38,45,3,0.8444444444444444,1
44,8,1,36,1
35,42,2,1470,1
6,46,2,276,1
28,41,3,0.6829268292682927,1
40,49,3,0.8163265306122449,1
24,28,2,672,1
40,33,1,7,1
39,6,2,234,1
32,23,3,1.391304347826087,1
44,43,1,1,1
18,26,0,44,1
3,32,1,-29,1
40,26,2,1040,1
26,20,2,520,1
12,9,1,3,1
1,15,2,15,1
8,19,0,27,1
29,13,1,16,1
31,1,1,30,1
4,50,1,-46,1
30,25,3,1.2,1
11,40,0,51,1
30,5,2,150,1
2,47,3,0.0425531914893617,1
45,46,2,2070,1
4,1,1,3,1
40,39,0,79,1
38,2,2,76,1
28,30,1,-2,1
49,12,1,37,1
3,3,0,6,1
6,15,1,-9,1
43,31,0,74,1
49,33,0,82,1
48,47,2,2256,1
41,48,3,0.8541666666666666,1
34,15,3,2.2666666666666666,1
20,24,2,480,1
28,8,2,224,1
16,29,1,-13,1
33,3,3,11.0,1
43,18,1,25,1
47,11,3,4.2727272727272725,1
25,32,2,800,1
42,28,1,14,1
31,10,2,310,1
40,15,2,600,1
6,35,0,41,1
5,5,2,25,1
42,47,3,0.8936170212765957,1
18,3,2,54,1
35,30,1,5,1
6,43,3,0.13953488372093023,1
18,12,1,6,1
3,44,3,0.06818181818181818,1
4,45,1,-41,1
49,11,1,38,1
11,9,0,20,1
45,13,0,58,1
13,28,3,0.4642857142857143,1
27,3,3,9.0,1
23,33,2,759,1
44,1,0,45,1
11,4,1,7,1
11,41,2,451,1
9,14,1,-5,1
47,29,3,1.6206896551724137,1
16,13,0,29,1
11,17,3,0.6470588235294118,1
26,49,0,75,1
25,40,0,65,1
31,21,3,1.4761904761904763,1
39,22,3,1.7727272727272727,1
1,9,2,9,1
2,26,3,0.07692307692307693,1
11,47,1,-36,1
21,21,0,42,1
8,48,2,384,1
12,13,3,0.9230769230769231,1
41,16,3,2.5625,1
26,11,3,2.3636363636363638,1
35,23,3,1.5217391304347827,1
41,21,1,20,1
48,47,3,1.0212765957446808,1
5,12,1,-7,1
7,20,2,140,1
31,24,3,1.2916666666666667,1
2,9,1,-7,1
4,18,1,-14,1
46,15,0,61,1
7,17,3,0.4117647058823529,1
3,37,1,-34,1
48,28,2,1344,1
0,3,1,-3,1
0,32,2,0,1
28,41,0,69,1
16,15,0,31,1
20,5,2,100,1
4,19,0,23,1
1,13,2,13,1
6,31,3,0.1935483870967742,1
40,13,0,53,1
3,48,3,0.0625,1
3,36,2,108,1
39,12,1,27,1
50,46,2,2300,1
40,3,0,43,1
25,49,0,74,1
9,21,2,189,1
29,46,1,-17,1
30,12,2,360,1
42,1,0,43,1
33,19,0,52,1
43,39,1,4,1
12,4,2,48,1
19,37,0,56,1
30,46,0,76,1
12,38,0,50,1
16,11,0,27,1
30,5,2,150,1
9,50,3,0.18,1
47,49,3,0.9591836734693877,1
12,6,1,6,1
5,9,2,45,1
44,32,1,12,1
42,43,1,-1,1
39,31,3,1.2580645161290323,1
1,36,3,0.027777777777777776,1
17,48,3,0.3541666666666667,1
36,9,3,4.0,1
21,10,1,11,1
35,29,3,1.206896551724138,1
4,21,3,0.19047619047619047,1
46,35,2,1610,1
47,49,3,0.9591836734693877,1
26,15,1,11,1
46,43,0,89,1
18,46,0,64,1
25,48,1,-23,1
28,14,0,42,1
38,12,0,50,1
12,20,1,-8,1
48,17,0,65,1
3,1,3,3.0,1
4,21,3,0.19047619047619047,1
50,24,1,26,1
48,35,3,1.3714285714285714,1
13,30,3,0.43333333333333335,1
20,21,1,-1,1
19,28,2,532,1
19,6,0,25,1
43,40,2,1720,1
1,28,1,-27,1
45,1,2,45,1
1,18,1,-17,1
16,41,1,-25,1
26,34,0,60,1
35,8,3,4.375,1
15,19,0,34,1
28,13,1,15,1
27,47,3,0.574468085106383,1
42,44,3,0.9545454545454546,1
29,36,1,-7,1
22,48,1,-26,1
39,16,2,624,1
30,23,2,690,1
8,10,2,80,1
41,35,2,1435,1
26,14,2,364,1
40,26,0,66,1
0,14,0,14,1
26,22,1,4,1
29,15,3,1.9333333333333333,1
32,10,2,320,1
32,4,2,128,1
33,45,3,0.7333333333333333,1
27,3,1,24,1
36,8,2,288,1
15,45,0,60,1
18,23,1,-5,1
15,47,3,0.3191489361702128,1
22,40,0,62,1
3,14,1,-11,1
20,20,0,40,1
9,6,2,54,1
34,32,0,66,1
30,35,1,-5,1
24,30,0,54,1
2,11,3,0.18181818181818182,1
13,2,1,11,1
8,32,2,256,1
27,40,2,1080,1
40,49,3,0.8163265306122449,1
30,35,0,65,1
33,10,1,23,1
0,6,1,-6,1
8,33,2,264,1
46,35,1,11,1
15,8,3,1.875,1
26,28,2,728,1
32,8,0,40,1
44,19,0,63,1
36,4,3,9.0,1
11,44,3,0.25,1
5,27,0,32,1
14,9,2,126,1
13,40,2,520,1
12,30,1,-18,1
5,31,0,36,1
37,45,1,-8,1
47,45,0,92,1
7,22,3,0.3181818181818182,1
46,22,3,2.090909090909091,1
2,19,1,-17,1
22,42,1,-20,1
40,38,2,1520,1
32,25,1,7,1
26,6,1,20,1
2,37,3,0.05405405405405406,1
44,28,1,16,1
39,13,2,507,1
26,47,0,73,1
22,26,2,572,1
32,3,3,10.666666666666666,1
38,42,2,1596,1
50,22,3,2.272727272727273,1
29,3,0,32,1
27,32,1,-5,1
34,22,3,1.5454545454545454,1
31,16,3,1.9375,1
2,31,2,62,1
16,32,0,48,1
15,17,0,32,1
6,44,0,50,1
21,45,3,0.4666666666666667,1
11,1,2,11,1
50,50,1,0,1
25,3,1,22,1
9,18,2,162,1
12,34,1,-22,1
3,40,0,43,1
22,30,0,52,1
39,14,3,2.7857142857142856,1
32,14,1,18,1
47,18,3,2.611111111111111,1
44,23,3,1.9130434782608696,1
8,13,0,21,1
29,9,1,20,1
41,21,3,1.9523809523809523,1
42,41,2,1722,1
40,50,3,0.8,1
34,32,0,66,1
5,2,3,2.5,1
50,26,0,76,1
5,11,3,0.45454545454545453,1
25,17,3,1.4705882352941178,1
19,5,1,14,1
0,24,3,0.0,1
21,29,0,50,1
21,23,3,0.9130434782608695,1
13,7,1,6,1
22,47,1,-25,1
5,25,2,125,1
40,29,0,69,1
50,30,3,1.6666666666666667,1
38,3,2,114,1
4,43,2,172,1
4,15,0,19,1
8,30,1,-22,1
3,7,0,10,1
20,46,3,0.43478260869565216,1
45,27,0,72,1
42,15,3,2.8,1
27,35,3,0.7714285714285715,1
4,47,3,0.0851063829787234,1
25,20,0,45,1
5,13,0,18,1
27,3,3,9.0,1
14,11,3,1.2727272727272727,1
26,18,2,468,1
5,42,2,210,1
47,44,3,1.0681818181818181,1
29,15,0,44,1
11,28,2,308,1
25,35,0,60,1
4,37,3,0.10810810810810811,1
27,1,0,28,1
37,15,2,555,1
45,2,3,22.5,1
44,46,3,0.9565217391304348,1
18,16,1,2,1
5,40,2,200,1
45,22,1,23,1
35,33,3,1.0606060606060606,1
7,47,0,54,1
21,33,3,0.6363636363636364,1
46,43,2,1978,1
21,14,3,1.5,1
21,50,1,-29,1
38,19,1,19,1
34,44,0,78,1
9,34,2,306,1
4,27,2,108,1
9,14,1,-5,1
30,14,1,16,1
20,12,0,32,1
5,48,2,240,1
12,38,3,0.3157894736842105,1
12,18,0,30,1
48,39,0,87,1
24,39,3,0.6153846153846154,1
27,25,3,1.08,1
47,38,1,9,1
22,49,1,-27,1
13,45,1,-32,1
32,44,1,-12,1
11,17,3,0.6470588235294118,1
20,28,0,48,1
2,12,3,0.16666666666666666,1
18,34,3,0.5294117647058824,1
38,7,2,266,1
36,48,0,84,1
50,7,3,7.142857142857143,1
9,25,2,225,1
42,12,0,54,1
31,19,2,589,1
31,7,1,24,1
48,43,3,1.1162790697674418,1
32,1,2,32,1
37,14,3,2.642857142857143,1
42,31,1,11,1
44,17,2,748,1
19,22,2,418,1
0,7,1,-7,1
48,44,1,4,1
42,31,2,1302,1
9,13,1,-4,1
24,21,1,3,1
42,45,3,0.9333333333333333,1
6,24,1,-18,1
29,12,2,348,1
42,22,2,924,1
42,24,1,18,1
31,36,3,0.8611111111111112,1
44,42,0,86,1
4,14,1,-10,1
15,45,0,60,1
45,6,0,51,1
34,2,2,68,1
11,14,0,25,1
10,16,2,160,1
10,13,1,-3,1
50,38,1,12,1
32,35,3,0.9142857142857143,1
25,22,3,1.1363636363636365,1
36,1,1,35,1
39,3,3,13.0,1
29,13,2,377,1
39,34,2,1326,1
15,36,3,0.4166666666666667,1
36,21,3,1.7142857142857142,1
43,40,1,3,1
3,10,1,-7,1
37,10,0,47,1
26,46,2,1196,1
42,29,0,71,1
13,12,1,1,1
44,9,2,396,1
18,16,3,1.125,1
2,6,1,-4,1
12,14,1,-2,1
10,18,1,-8,1
47,19,2,893,1
3,22,1,-19,1
44,17,2,748,1
20,37,2,740,1
20,30,3,0.6666666666666666,1
2,47,1,-45,1
24,19,1,5,1
21,9,1,12,1
28,25,0,53,1
40,26,1,14,1
37,44,0,81,1
7,41,2,287,1
49,14,2,686,1
37,46,1,-9,1
15,6,3,2.5,1
2,25,2,50,1
4,27,2,108,1
4,2,3,2.0,1
5,31,1,-26,1
12,24,1,-12,1
49,25,3,1.96,1
8,19,2,152,1
22,26,3,0.8461538461538461,1
48,48,1,0,1
48,45,1,3,1
16,32,1,-16,1
6,43,1,-37,1
20,12,1,8,1
20,15,3,1.3333333333333333,1
5,13,1,-8,1
22,15,2,330,1
18,46,0,64,1
6,5,3,1.2,1
17,4,2,68,1
33,16,2,528,1
6,4,2,24,1
34,18,2,612,1
12,43,0,55,1
39,9,1,30,1
40,3,2,120,1
41,29,1,12,1
50,3,0,53,1
27,4,0,31,1
50,10,3,5.0,1
28,31,2,868,1
12,21,3,0.5714285714285714,1
8,13,2,104,1
38,44,0,82,1
37,36,1,1,1
32,44,2,1408,1
23,17,3,1.3529411764705883,1
49,5,2,245,1
39,20,0,59,1
12,41,0,53,1
33,29,3,1.1379310344827587,1
39,9,3,4.333333333333333,1
3,30,1,-27,1
41,5,1,36,1
32,10,3,3.2,1
2,50,3,0.04,1
3,15,0,18,1
12,8,1,4,1
9,45,3,0.2,1
24,1,3,24.0,1
32,2,3,16.0,1
48,19,2,912,1
8,28,2,224,1
14,27,3,0.5185185185185185,1
28,8,0,36,1
16,14,1,2,1
25,16,2,400,1
30,50,3,0.6,1
35,12,2,420,1
4,26,2,104,1
30,42,3,0.7142857142857143,1
42,39,0,81,1
4,17,0,21,1
24,4,2,96,1
7,24,1,-17,1
26,12,3,2.1666666666666665,1
16,19,2,304,1
36,42,1,-6,1
19,40,0,59,1
7,9,2,63,1
22,12,2,264,1
36,35,3,1.0285714285714285,1
3,22,1,-19,1
37,8,0,45,1
16,15,1,1,1
7,39,3,0.1794871794871795,1
27,33,1,-6,1
44,24,3,1.8333333333333333,1
46,2,3,23.0,1
6,28,1,-22,1
37,43,3,0.8604651162790697,1
34,43,0,77,1
21,28,2,588,1
50,8,1,42,1
28,25,2,700,1
7,20,3,0.35,1
9,16,3,0.5625,1
6,28,1,-22,1
32,8,0,40,1
37,2,0,39,1
28,1,0,29,1
23,50,3,0.46,1
37,20,0,57,1
18,6,0,24,1
46,36,1,10,1
24,7,2,168,1
6,35,0,41,1
49,13,2,637,1
23,31,0,54,1
33,18,1,15,1
0,24,3,0.0,1
50,35,2,1750,1
45,6,0,51,1
49,14,1,35,1
9,44,2,396,1
48,13,1,35,1
44,8,1,36,1
48,11,3,4.363636363636363,1
20,7,2,140,1
5,7,3,0.7142857142857143,1
31,4,1,27,1
33,39,0,72,1
28,41,3,0.6829268292682927,1
23,37,0,60,1
50,1,3,50.0,1
40,19,1,21,1
27,27,1,0,1
0,6,2,0,1
41,5,0,46,1
33,8,3,4.125,1
30,19,0,49,1
7,12,1,-5,1
34,38,2,1292,1
14,9,2,126,1
31,7,3,4.428571428571429,1
19,22,2,418,1
50,46,1,4,1
3,2,1,1,1
11,26,1,-15,1
9,50,1,-41,1
39,7,0,46,1
29,13,1,16,1
12,2,1,10,1
36,31,3,1.1612903225806452,1
8,40,0,48,1
8,41,3,0.1951219512195122,1
23,42,2,966,1
12,6,0,18,1
11,21,3,0.5238095238095238,1
43,13,3,3.3076923076923075,1
2,32,2,64,1
50,45,0,95,1
15,41,2,615,1
34,45,2,1530,1
18,49,2,882,1
20,26,0,46,1
34,47,3,0.723404255319149,1
45,45,3,1.0,1
33,44,2,1452,1
46,30,2,1380,1
10,35,3,0.2857142857142857,1
1,45,2,45,1
23,38,1,-15,1
44,17,0,61,1
4,20,2,80,1
29,16,3,1.8125,1
6,25,0,31,1
31,41,2,1271,1
34,10,0,44,1
36,39,0,75,1
28,8,2,224,1
41,42,0,83,1
9,37,2,333,1
45,21,2,945,1
23,30,1,-7,1
25,25,0,50,1
22,33,1,-11,1
49,33,2,1617,1
1,32,3,0.03125,1
16,24,3,0.6666666666666666,1
34,16,3,2.125,1
3,30,1,-27,1
36,1,2,36,1
5,47,1,-42,1
8,25,2,200,1
0,31,2,0,1
16,37,2,592,1
16,7,3,2.2857142857142856,1
13,7,1,6,1
32,25,2,800,1
45,37,3,1.2162162162162162,1
34,31,3,1.096774193548387,1
2,22,1,-20,1
35,18,0,53,1
16,36,1,-20,1
0,1,3,0.0,1
41,11,3,3.727272727272727,1
49,41,0,90,1
6,26,3,0.23076923076923078,1
25,2,0,27,1
5,18,3,0.2777777777777778,1
16,39,1,-23,1
15,41,3,0.36585365853658536,1
25,36,2,900,1
6,3,0,9,1
1,5,3,0.2,1
36,33,3,1.0909090909090908,1
8,48,1,-40,1
41,38,3,1.0789473684210527,1
26,36,1,-10,1
19,37,0,56,1
35,12,2,420,1
8,26,0,34,1
50,43,2,2150,1
34,34,2,1156,1
25,7,0,32,1
27,22,1,5,1
5,3,1,2,1
15,30,3,0.5,1
8,35,3,0.22857142857142856,1
43,22,1,21,1
19,14,2,266,1
38,25,0,63,1
35,1,2,35,1
31,13,2,403,1
20,37,1,-17,1
16,43,2,688,1
9,39,2,351,1
47,3,0,50,1
47,3,3,15.666666666666666,1
12,21,3,0.5714285714285714,1
4,22,2,88,1
0,9,0,9,1
0,21,0,21,1
39,32,1,7,1
44,20,3,2.2,1
42,20,2,840,1
43,10,3,4.3,1
15,28,0,43,1
39,46,1,-7,1
19,33,0,52,1
40,14,2,560,1
24,16,3,1.5,1
28,43,3,0.6511627906976745,1
5,37,2,185,1
40,10,3,4.0,1
3,36,1,-33,1
40,28,1,12,1
12,40,2,480,1
25,47,0,72,1
25,40,0,65,1
49,23,2,1127,1
38,35,2,1330,1
46,28,3,1.6428571428571428,1
13,3,1,10,1
41,18,1,23,1
0,47,0,47,1
2,41,1,-39,1
47,8,2,376,1
10,43,0,53,1
34,39,2,1326,1
38,31,0,69,1
20,15,0,35,1
20,33,2,660,1
7,37,2,259,1
42,19,2,798,1
0,34,3,0.0,1
49,19,2,931,1
44,7,3,6.285714285714286,1
0,39,0,39,1
9,1,0,10,1
34,21,0,55,1
18,19,1,-1,1
49,1,0,50,1
13,26,0,39,1
8,27,0,35,1
15,1,1,14,1
50,44,3,1.1363636363636365,1
43,37,0,80,1
26,34,3,0.7647058823529411,1
30,17,0,47,1
21,6,2,126,1
20,32,1,-12,1
31,27,3,1.1481481481481481,1
16,25,1,-9,1
23,1,2,23,1
48,5,1,43,1
37,33,3,1.121212121212121,1
39,4,1,35,1
14,10,0,24,1
24,32,1,-8,1
49,33,1,16,1
32,11,1,21,1
50,3,0,53,1
10,18,2,180,1
16,6,2,96,1
9,4,1,5,1
2,27,2,54,1
1,43,3,0.023255813953488372,1
23,27,2,621,1
44,35,3,1.2571428571428571,1
25,11,1,14,1
36,39,0,75,1
24,33,0,57,1
9,3,3,3.0,1
49,22,1,27,1
48,19,0,67,1
28,41,0,69,1
17,11,0,28,1
37,42,0,79,1
21,38,3,0.5526315789473685,1
39,23,3,1.6956521739130435,1
21,23,2,483,1
30,9,2,270,1
43,15,1,28,1
3,40,1,-37,1
11,6,2,66,1
7,24,2,168,1
47,39,2,1833,1
5,36,1,-31,1
49,15,3,3.2666666666666666,1
14,17,1,-3,1
24,40,2,960,1
44,49,1,-5,1
28,43,0,71,1
46,23,1,23,1
28,34,2,952,1
14,23,0,37,1
13,21,3,0.6190476190476191,1
35,28,0,63,1
40,13,1,27,1
41,15,3,2.7333333333333334,1
42,19,0,61,1
26,8,1,18,1
0,42,2,0,1
41,14,1,27,1
36,39,2,1404,1
11,12,0,23,1
22,7,1,15,1
17,48,2,816,1
25,17,2,425,1
9,22,3,0.4090909090909091,1
25,16,3,1.5625,1
46,31,2,1426,1
44,25,2,1100,1
27,31,2,837,1
40,17,3,2.3529411764705883,1
11,44,1,-33,1
14,11,3,1.2727272727272727,1
17,22,1,-5,1
49,15,2,735,1
29,50,0,79,1
33,21,1,12,1
29,36,3,0.8055555555555556,1
20,16,2,320,1
48,42,2,2016,1
11,14,2,154,1
32,8,3,4.0,1
43,5,2,215,1
19,46,1,-27,1
20,17,2,340,1
30,41,2,1230,1
16,47,2,752,1
46,2,3,23.0,1
11,20,3,0.55,1
18,2,1,16,1
48,22,0,70,1
35,5,0,40,1
18,23,3,0.782608695652174,1
47,39,0,86,1
21,26,0,47,1
0,30,0,30,1
13,6,2,78,1
36,50,3,0.72,1
46,13,1,33,1
16,48,0,64,1
34,24,2,816,1
17,26,3,0.6538461538461539,1
50,8,1,42,1
44,48,1,-4,1
44,4,0,48,1
29,15,1,14,1
44,10,3,4.4,1
29,36,3,0.8055555555555556,1
40,35,3,1.1428571428571428,1
42,22,1,20,1
6,8,1,-2,1
28,37,2,1036,1
33,31,0,64,1
4,37,1,-33,1
28,45,2,1260,1
23,50,1,-27,1
47,39,2,1833,1
10,9,1,1,1
17,48,1,-31,1
49,1,1,48,1
28,39,3,0.717948717948718,1
1,31,2,31,1
37,12,1,25,1
47,44,2,2068,1
22,18,1,4,1
2,41,3,0.04878048780487805,1
23,37,1,-14,1
30,30,0,60,1
4,14,1,-10,1
48,11,3,4.363636363636363,1
36,7,2,252,1
36,14,1,22,1
4,4,2,16,1
31,36,0,67,1
29,12,2,348,1
30,30,2,900,1
27,3,0,30,1
12,5,3,2.4,1
50,41,2,2050,1
23,7,2,161,1
41,44,1,-3,1
50,44,2,2200,1
40,20,2,800,1
38,6,0,44,1
5,26,3,0.19230769230769232,1
3,48,1,-45,1
26,50,3,0.52,1
41,20,0,61,1
41,5,1,36,1
44,23,0,67,1
37,17,1,20,1
2,24,2,48,1
34,11,2,374,1
41,2,1,39,1
0,47,2,0,1
15,38,3,0.39473684210526316,1
33,38,2,1254,1
31,45,3,0.6888888888888889,1
6,47,1,-41,1
45,18,0,63,1
36,35,0,71,1
23,32,0,55,1
22,50,3,0.44,1
39,33,0,72,1
41,22,3,1.8636363636363635,1
46,11,2,506,1
26,39,1,-13,1
33,35,3,0.9428571428571428,1
46,49,3,0.9387755102040817,1
7,40,1,-33,1
6,40,2,240,1
9,47,1,-38,1
38,26,2,988,1
23,7,3,3.2857142857142856,1
3,12,3,0.25,1
18,18,1,0,1
38,9,0,47,1
35,3,3,11.666666666666666,1
10,30,1,-20,1
0,37,0,37,1
0,46,3,0.0,1
50,38,2,1900,1
36,28,3,1.2857142857142858,1
28,41,1,-13,1
24,48,2,1152,1
19,2,2,38,1
3,28,3,0.10714285714285714,1
40,50,3,0.8,1
33,8,2,264,1
31,49,0,80,1
47,38,3,1.236842105263158,1
22,43,3,0.5116279069767442,1
25,17,2,425,1
29,28,1,1,1
30,35,3,0.8571428571428571,1
9,32,1,-23,1
46,27,3,1.7037037037037037,1
26,18,2,468,1
13,35,3,0.37142857142857144,1
34,5,2,170,1
40,35,2,1400,1
48,10,2,480,1
1,2,2,2,1
45,19,1,26,1
36,44,1,-8,1
44,43,3,1.0232558139534884,1
6,48,3,0.125,1
47,48,1,-1,1
18,30,0,48,1
31,41,1,-10,1
7,44,0,51,1
48,2,3,24.0,1
32,50,0,82,1
26,21,0,47,1
20,39,0,59,1
2,40,2,80,1
7,8,1,-1,1
49,25,1,24,1
39,45,1,-6,1
16,46,1,-30,1
0,30,3,0.0,1
22,29,2,638,1
10,26,0,36,1
11,27,3,0.4074074074074074,1
42,28,0,70,1
50,23,3,2.1739130434782608,1
23,8,3,2.875,1
25,47,1,-22,1
40,15,0,55,1
3,49,2,147,1
10,24,1,-14,1
29,22,0,51,1
8,14,0,22,1
50,6,2,300,1
42,26,2,1092,1
4,8,2,32,1
24,19,0,43,1
13,7,3,1.8571428571428572,1
22,39,2,858,1
31,41,0,72,1
38,30,0,68,1
14,36,1,-22,1
30,41,0,71,1
40,2,0,42,1
14,24,1,-10,1
4,37,0,41,1
36,17,2,612,1
4,18,2,72,1
46,16,3,2.875,1
24,22,0,46,1
18,8,3,2.25,1
24,35,2,840,1
17,27,3,0.6296296296296297,1
28,50,2,1400,1
12,45,1,-33,1
23,45,3,0.5111111111111111,1
4,16,2,64,1
15,16,1,-1,1
11,23,0,34,1
19,27,2,513,1
27,2,3,13.5,1
4,14,1,-10,1
16,5,3,3.2,1
33,4,1,29,1
35,28,3,1.25,1
32,32,3,1.0,1
12,21,0,33,1
38,4,3,9.5,1
34,18,1,16,1
9,43,0,52,1
43,27,1,16,1
28,44,3,0.6363636363636364,1
26,17,0,43,1
9,2,0,11,1
16,39,1,-23,1
3,47,1,-44,1
22,34,0,56,1
40,35,3,1.1428571428571428,1
33,28,0,61,1
8,26,1,-18,1
32,38,1,-6,1
44,23,3,1.9130434782608696,1
33,30,0,63,1
42,23,3,1.826086956521739,1
25,1,0,26,1
22,8,2,176,1
33,43,1,-10,1
29,44,1,-15,1
12,32,0,44,1
26,6,0,32,1
39,34,3,1.1470588235294117,1
41,6,3,6.833333333333333,1
