dx,dy,vx,vy,success
21.06,-91.78,5.00,-5.00,1
29.28,-69.22,5.00,-5.00,1
-44.34,96.79,-5.00,5.00,1
98.61,62.71,-5.00,0.00,1
73.49,-87.32,0.00,5.00,1
69.24,-5.08,-5.00,5.00,0
41.21,91.92,5.00,5.00,1
66.29,-17.25,5.00,-5.00,1
98.93,-83.05,0.00,5.00,1
18.55,-46.84,-5.00,0.00,1
-36.70,93.94,-5.00,0.00,1
8.61,55.04,5.00,5.00,1
98.01,-42.61,5.00,5.00,1
-66.25,-14.68,0.00,5.00,1
25.81,65.49,-5.00,0.00,1
-91.24,-50.79,-5.00,5.00,1
-94.98,26.84,-5.00,0.00,1
-27.86,52.43,5.00,0.00,1
-96.60,88.31,-5.00,-5.00,1
53.83,94.90,5.00,0.00,1
-44.69,-49.97,-5.00,0.00,1
91.31,-11.98,-5.00,5.00,1
-78.13,43.73,5.00,5.00,1
52.85,-6.37,0.00,-5.00,1
-86.07,-62.23,-5.00,0.00,1
-72.44,-72.59,5.00,-5.00,1
21.66,-50.32,0.00,-5.00,1
93.63,44.72,0.00,5.00,1
-11.88,65.18,-5.00,-5.00,1
-69.85,27.64,0.00,-5.00,1
-44.20,-88.28,5.00,-5.00,1
-96.98,-59.22,5.00,5.00,0
-95.67,-60.60,-5.00,-5.00,1
-96.64,23.41,-5.00,-5.00,1
60.56,34.56,0.00,-5.00,1
74.34,-65.85,0.00,5.00,1
-79.92,10.26,5.00,5.00,1
-14.10,97.15,5.00,5.00,1
-85.26,68.33,0.00,-5.00,1
65.50,53.70,-5.00,-5.00,0
56.94,14.72,-5.00,-5.00,0
52.42,-50.76,5.00,0.00,1
79.77,15.48,0.00,5.00,1
-56.67,31.56,5.00,5.00,1
29.31,87.50,-5.00,-5.00,0
74.58,-97.87,-5.00,5.00,1
-59.20,46.79,5.00,5.00,1
66.99,-87.03,5.00,0.00,1
44.92,77.85,0.00,-5.00,1
-37.48,42.50,5.00,5.00,1
-44.96,-33.10,-5.00,-5.00,1
-8.05,73.42,0.00,-5.00,0
-73.54,-66.54,0.00,-5.00,1
54.38,-31.00,-5.00,0.00,0
34.32,61.51,5.00,0.00,1
98.19,15.62,0.00,5.00,1
16.01,-99.70,5.00,-5.00,1
-38.84,-57.59,0.00,-5.00,1
-80.49,49.25,0.00,-5.00,1
-12.25,67.94,-5.00,5.00,1
61.21,-44.04,-5.00,0.00,0
-51.30,-71.48,-5.00,0.00,1
-18.16,71.17,0.00,-5.00,0
-80.28,-87.67,-5.00,0.00,1
29.44,-63.30,-5.00,0.00,1
-60.71,4.34,-5.00,5.00,1
-32.23,60.37,5.00,0.00,1
81.52,99.49,0.00,-5.00,1
11.89,-59.12,-5.00,0.00,1
60.82,96.36,-5.00,-5.00,0
-92.69,-26.12,5.00,0.00,1
-53.57,72.68,-5.00,-5.00,1
-65.92,56.87,0.00,5.00,1
-74.91,-16.46,-5.00,0.00,1
95.18,-2.21,5.00,-5.00,1
-91.56,-3.12,5.00,0.00,0
65.18,-88.01,-5.00,-5.00,1
-37.95,91.62,0.00,5.00,1
-68.74,-40.30,0.00,5.00,1
-59.32,-29.64,0.00,5.00,1
71.71,88.91,5.00,5.00,1
62.50,7.72,0.00,-5.00,1
-10.04,89.83,0.00,5.00,1
70.01,39.99,0.00,5.00,1
-72.12,96.83,5.00,5.00,1
-90.22,95.89,5.00,5.00,1
-61.05,52.95,-5.00,5.00,1
52.80,-55.57,0.00,5.00,1
45.93,47.01,5.00,-5.00,1
-4.20,-70.00,-5.00,-5.00,1
98.39,59.15,-5.00,-5.00,0
34.67,-53.08,-5.00,5.00,0
-58.55,-23.26,0.00,-5.00,1
93.09,-7.93,0.00,-5.00,1
-63.74,-0.21,0.00,-5.00,1
48.94,-68.54,0.00,5.00,1
-62.64,0.20,-5.00,0.00,1
84.99,25.42,-5.00,0.00,0
-74.87,-47.37,5.00,-5.00,1
75.39,25.99,0.00,-5.00,1
-28.87,-63.25,-5.00,-5.00,1
-90.72,33.73,-5.00,0.00,1
11.00,-67.48,-5.00,5.00,0
-52.94,-97.23,-5.00,5.00,1
-86.69,5.32,0.00,-5.00,1
89.54,42.72,5.00,0.00,1
-92.26,37.69,0.00,5.00,1
93.67,-17.49,0.00,-5.00,1
31.73,-90.47,5.00,0.00,1
-19.72,85.56,-5.00,0.00,1
-85.83,-83.19,-5.00,0.00,1
-40.07,-87.59,0.00,5.00,1
97.68,28.35,-5.00,0.00,1
99.87,-31.50,5.00,0.00,1
92.35,-26.46,5.00,0.00,1
-75.55,88.39,5.00,5.00,1
-11.58,80.39,-5.00,-5.00,1
-94.10,-50.36,-5.00,5.00,1
-42.70,29.65,0.00,5.00,1
-73.91,95.29,5.00,-5.00,1
-43.51,-45.68,-5.00,0.00,1
54.27,53.09,-5.00,5.00,1
-36.00,69.93,0.00,-5.00,0
80.08,44.81,0.00,5.00,1
20.08,50.49,0.00,-5.00,1
57.35,15.96,5.00,0.00,1
-49.75,22.20,-5.00,5.00,1
35.60,-87.38,-5.00,5.00,0
-16.20,90.24,-5.00,5.00,1
-26.71,-85.91,-5.00,5.00,1
-78.35,-12.65,-5.00,0.00,1
-69.67,-96.57,-5.00,5.00,1
34.57,-80.87,0.00,5.00,0
93.45,52.90,-5.00,5.00,1
-75.46,75.80,0.00,-5.00,1
82.93,-85.74,5.00,-5.00,1
-82.84,8.88,-5.00,0.00,1
89.82,13.59,5.00,-5.00,1
59.38,59.58,-5.00,5.00,1
-53.74,-51.39,-5.00,0.00,1
98.77,-31.96,5.00,5.00,1
0.45,50.62,-5.00,0.00,1
93.33,-32.89,0.00,-5.00,1
93.88,81.13,5.00,0.00,1
46.67,54.01,0.00,5.00,1
-59.09,-35.97,5.00,-5.00,1
41.47,68.74,0.00,5.00,1
-60.26,73.05,5.00,5.00,1
44.73,64.32,0.00,-5.00,0
90.39,-32.19,0.00,-5.00,1
19.09,88.43,5.00,5.00,1
-75.05,27.19,-5.00,5.00,1
80.59,35.58,5.00,5.00,1
88.65,-58.69,0.00,-5.00,1
-13.60,-61.31,5.00,5.00,0
99.35,-49.99,0.00,-5.00,1
-11.08,-53.28,-5.00,0.00,1
-7.72,70.75,5.00,-5.00,0
26.88,72.01,5.00,-5.00,1
-45.38,-93.50,5.00,-5.00,1
30.76,55.08,-5.00,0.00,1
-63.09,16.17,-5.00,5.00,1
-95.29,-44.41,0.00,-5.00,1
41.40,85.45,5.00,0.00,1
-57.88,5.61,-5.00,-5.00,1
-98.36,73.52,0.00,5.00,1
49.26,27.11,0.00,5.00,1
34.49,-65.41,-5.00,-5.00,1
-9.10,94.86,-5.00,5.00,1
-55.99,83.49,-5.00,5.00,1
-79.34,-37.67,0.00,5.00,1
-84.02,-27.46,0.00,-5.00,1
64.29,-57.50,5.00,-5.00,1
-17.78,99.71,0.00,5.00,1
-27.03,-50.64,5.00,5.00,0
-76.49,-14.93,0.00,5.00,1
69.25,-80.66,5.00,0.00,1
53.98,-21.26,0.00,-5.00,1
-34.86,-37.78,0.00,5.00,1
83.92,12.95,-5.00,0.00,0
-28.87,-84.46,0.00,5.00,0
-97.82,-70.70,0.00,5.00,1
-80.50,-89.44,5.00,-5.00,1
-99.21,-40.88,5.00,5.00,1
57.70,-17.88,-5.00,-5.00,1
-50.06,93.05,0.00,5.00,1
-97.44,-58.43,-5.00,5.00,1
17.46,68.24,5.00,5.00,1
71.95,44.06,0.00,5.00,1
-23.41,74.78,5.00,5.00,1
-40.80,50.67,0.00,-5.00,0
22.43,86.10,-5.00,0.00,1
77.06,75.83,5.00,5.00,1
-97.59,69.91,0.00,-5.00,1
13.11,-87.48,-5.00,-5.00,1
23.00,-96.49,0.00,-5.00,1
71.07,45.76,5.00,-5.00,1
87.53,59.10,-5.00,-5.00,0
-55.44,32.43,0.00,-5.00,1
-23.33,71.86,5.00,0.00,1
8.20,97.09,5.00,0.00,1
0.90,72.71,-5.00,-5.00,1
90.25,-44.84,0.00,-5.00,1
56.03,62.97,0.00,-5.00,1
-85.10,56.24,-5.00,-5.00,1
-56.96,25.03,5.00,5.00,1
82.53,2.58,5.00,-5.00,1
69.96,-83.30,0.00,5.00,1
-43.72,99.01,5.00,0.00,1
78.78,-43.28,0.00,5.00,1
-74.17,-77.59,5.00,0.00,1
48.10,-44.32,0.00,5.00,0
35.82,-81.63,0.00,5.00,0
-6.19,-61.29,-5.00,0.00,1
76.53,-43.69,-5.00,5.00,0
-72.81,-40.40,-5.00,0.00,1
10.29,-97.26,-5.00,0.00,1
82.49,-34.66,-5.00,5.00,0
39.90,-49.93,-5.00,5.00,0
94.17,30.60,5.00,0.00,1
90.09,-29.09,5.00,5.00,1
37.27,95.03,-5.00,5.00,1
1.71,54.98,5.00,5.00,1
25.45,-96.95,-5.00,5.00,1
-7.16,65.84,0.00,5.00,1
80.58,77.66,0.00,5.00,1
-24.95,-47.47,-5.00,-5.00,1
76.31,-74.07,0.00,-5.00,1
-49.66,83.30,5.00,0.00,1
80.55,92.95,5.00,5.00,1
-62.41,-33.66,0.00,-5.00,1
90.08,90.37,5.00,5.00,1
-72.68,-18.00,-5.00,5.00,1
40.93,86.37,0.00,5.00,1
89.88,-75.92,0.00,5.00,1
-84.23,99.76,5.00,-5.00,1
-99.26,-63.89,-5.00,5.00,1
-59.88,13.24,0.00,-5.00,1
88.31,-83.48,5.00,0.00,1
-23.58,95.27,-5.00,0.00,1
98.08,-5.44,-5.00,0.00,0
-85.72,-98.64,-5.00,-5.00,1
-54.54,-9.23,5.00,-5.00,1
-65.45,-31.01,5.00,5.00,0
-76.50,3.72,-5.00,-5.00,1
-6.48,-68.50,0.00,5.00,0
-86.19,-59.07,5.00,0.00,1
-82.83,-4.87,5.00,5.00,1
6.05,70.38,5.00,5.00,1
-82.85,-77.36,0.00,5.00,1
-97.82,66.39,-5.00,0.00,1
48.39,53.03,-5.00,0.00,1
92.77,-46.10,-5.00,0.00,1
-14.63,67.94,5.00,-5.00,0
35.68,62.76,5.00,0.00,1
-43.74,-25.47,0.00,-5.00,1
33.89,-98.61,-5.00,5.00,1
-41.87,55.54,-5.00,-5.00,1
53.55,77.26,5.00,0.00,1
98.48,65.36,5.00,-5.00,1
-77.64,7.94,-5.00,5.00,1
-64.78,43.69,0.00,-5.00,1
11.41,58.34,0.00,5.00,1
87.06,9.22,5.00,0.00,1
47.00,-53.28,0.00,-5.00,1
-65.35,16.97,-5.00,5.00,1
-93.85,-60.48,-5.00,5.00,1
91.00,74.64,5.00,-5.00,1
86.90,-1.40,0.00,5.00,1
-48.45,-97.82,-5.00,-5.00,1
-45.41,77.57,-5.00,0.00,1
-29.87,-41.65,0.00,-5.00,1
-2.79,61.63,5.00,5.00,1
53.57,-36.84,-5.00,-5.00,1
-92.52,-98.92,-5.00,-5.00,1
-57.85,87.79,0.00,5.00,1
84.16,-32.52,0.00,5.00,1
63.19,76.29,-5.00,-5.00,0
43.71,-87.30,0.00,-5.00,1
8.44,50.35,5.00,5.00,1
-18.97,62.91,-5.00,0.00,1
86.91,-24.22,0.00,5.00,1
97.22,-33.25,5.00,5.00,1
37.99,-75.87,5.00,0.00,1
-59.77,-74.41,-5.00,-5.00,1
44.09,-73.67,-5.00,5.00,0
-68.47,-68.95,5.00,0.00,1
88.25,-72.32,0.00,-5.00,1
-60.52,-6.41,5.00,5.00,0
-51.70,-7.70,0.00,5.00,1
-28.72,56.38,5.00,-5.00,0
-13.72,60.98,-5.00,-5.00,1
17.22,-82.64,0.00,5.00,0
-83.59,-52.69,5.00,0.00,1
-74.56,12.66,5.00,0.00,0
69.34,78.51,5.00,5.00,1
7.24,-51.46,-5.00,0.00,1
-56.10,-81.03,5.00,0.00,1
91.68,60.99,5.00,-5.00,1
42.64,59.58,5.00,5.00,1
62.29,31.01,-5.00,-5.00,0
95.55,-4.01,-5.00,-5.00,1
44.17,-58.42,5.00,-5.00,1
58.63,-41.22,-5.00,-5.00,1
-55.58,68.18,0.00,-5.00,1
-78.01,62.38,-5.00,0.00,1
-96.34,27.12,0.00,5.00,1
64.35,82.36,0.00,5.00,1
93.05,54.49,5.00,5.00,1
-39.55,-80.77,5.00,0.00,1
-85.49,-36.38,-5.00,0.00,1
78.66,-8.31,0.00,5.00,1
37.77,-33.26,5.00,-5.00,1
87.29,-87.36,-5.00,5.00,1
61.76,93.89,5.00,-5.00,1
52.10,-85.48,0.00,5.00,1
30.25,96.14,0.00,-5.00,1
99.27,-95.82,-5.00,-5.00,1
30.93,-56.88,-5.00,-5.00,1
-35.88,-87.55,5.00,0.00,1
-28.94,51.03,0.00,-5.00,0
-79.77,56.21,0.00,5.00,1
40.66,-40.76,-5.00,5.00,0
-98.11,-1.26,5.00,0.00,0
-75.51,-47.96,-5.00,5.00,1
59.70,43.32,5.00,5.00,1
76.85,4.85,5.00,-5.00,1
26.87,60.16,-5.00,-5.00,0
79.10,65.66,-5.00,5.00,1
3.58,-85.28,5.00,0.00,1
-29.04,-99.47,5.00,5.00,1
6.31,64.88,-5.00,0.00,1
-64.53,-15.02,-5.00,5.00,1
96.03,-17.84,5.00,0.00,1
77.68,99.52,-5.00,5.00,1
-50.48,-42.13,5.00,-5.00,1
-47.56,-39.10,5.00,0.00,0
77.77,61.00,-5.00,5.00,1
-48.84,-96.19,5.00,5.00,0
-39.47,-68.52,5.00,-5.00,1
-28.69,-53.36,0.00,5.00,0
-78.21,-25.25,5.00,5.00,0
31.58,95.89,5.00,-5.00,1
-81.59,-14.67,5.00,0.00,0
-54.95,0.45,5.00,5.00,1
25.94,49.91,5.00,5.00,1
-36.58,63.81,-5.00,-5.00,1
-92.91,27.71,0.00,-5.00,1
57.18,39.02,5.00,-5.00,1
11.50,-82.02,0.00,-5.00,1
-56.89,9.40,5.00,5.00,1
40.46,-80.86,0.00,-5.00,1
-32.69,42.33,-5.00,5.00,1
-93.74,-32.63,5.00,-5.00,1
32.37,74.54,-5.00,-5.00,0
52.02,-94.77,-5.00,5.00,0
96.36,-18.89,5.00,0.00,1
99.61,-70.72,-5.00,0.00,1
44.44,-24.93,-5.00,0.00,1
-63.22,66.72,-5.00,5.00,1
-79.61,3.83,5.00,5.00,1
-81.51,91.83,5.00,0.00,1
-77.36,-48.04,5.00,0.00,1
37.70,62.73,-5.00,0.00,1
-16.22,-69.62,5.00,-5.00,1
-23.43,-80.82,5.00,5.00,0
89.22,83.71,5.00,5.00,1
5.08,-95.98,5.00,0.00,1
-92.20,-99.39,0.00,-5.00,1
77.64,43.76,-5.00,5.00,1
-59.19,-63.75,0.00,5.00,1
-55.01,-0.03,-5.00,-5.00,1
-99.59,84.51,5.00,0.00,1
84.74,89.33,5.00,-5.00,1
-87.72,-43.44,-5.00,0.00,1
86.17,90.90,5.00,0.00,1
32.13,-46.55,-5.00,5.00,1
71.21,-97.05,-5.00,-5.00,1
-66.99,-70.81,0.00,5.00,1
51.70,-98.98,0.00,5.00,1
42.56,-98.16,5.00,0.00,1
6.85,71.85,-5.00,5.00,1
-5.00,94.38,-5.00,5.00,1
9.21,-81.70,5.00,5.00,1
-74.77,-67.40,5.00,5.00,0
74.26,-21.85,-5.00,-5.00,1
72.78,-54.98,5.00,5.00,1
-84.51,-5.59,0.00,-5.00,1
-93.70,-94.51,5.00,-5.00,1
74.56,17.89,5.00,5.00,1
72.58,48.50,-5.00,5.00,1
-74.18,-8.84,-5.00,-5.00,1
83.68,-58.39,5.00,5.00,1
32.13,-90.19,0.00,-5.00,1
-57.90,-56.87,5.00,-5.00,1
-26.17,-65.43,0.00,-5.00,1
-12.61,67.59,5.00,5.00,1
-77.54,-3.84,-5.00,5.00,1
73.51,-52.43,-5.00,-5.00,1
32.14,-65.57,-5.00,5.00,0
29.06,45.62,0.00,-5.00,1
50.07,-80.05,-5.00,-5.00,1
-15.48,-49.05,0.00,-5.00,1
-91.03,-78.36,5.00,0.00,1
-66.45,-26.92,-5.00,5.00,1
-66.23,68.80,0.00,5.00,1
-32.87,-56.84,-5.00,5.00,1
72.39,-34.71,-5.00,-5.00,1
-97.72,-43.56,-5.00,5.00,1
-51.72,-5.68,-5.00,5.00,1
36.23,-73.86,0.00,5.00,0
66.96,-28.31,-5.00,5.00,0
-96.73,-52.49,-5.00,-5.00,1
1.03,74.61,-5.00,5.00,1
31.45,90.95,-5.00,5.00,1
64.20,-71.00,-5.00,0.00,1
-7.88,79.77,-5.00,-5.00,1
71.91,21.63,5.00,-5.00,1
59.25,65.36,0.00,-5.00,1
-90.48,-29.45,5.00,0.00,1
20.07,-87.77,5.00,5.00,1
50.43,-28.20,-5.00,5.00,0
3.13,-87.90,-5.00,-5.00,1
99.14,-78.21,5.00,5.00,1
-28.54,-91.17,5.00,5.00,0
-50.59,5.14,-5.00,5.00,1
-80.90,-58.38,5.00,5.00,0
0.26,53.65,5.00,0.00,1
-96.20,22.42,0.00,-5.00,1
-6.88,-92.99,-5.00,5.00,1
64.63,-27.51,5.00,5.00,1
-28.29,71.16,5.00,0.00,1
88.12,-68.41,0.00,5.00,1
81.46,93.11,-5.00,0.00,1
-97.74,-26.27,5.00,-5.00,1
-95.06,-6.16,5.00,0.00,0
-72.61,33.84,-5.00,5.00,1
54.10,91.76,0.00,5.00,1
12.73,77.30,-5.00,-5.00,0
-38.48,40.86,0.00,-5.00,0
33.98,88.14,5.00,0.00,1
81.22,63.91,-5.00,0.00,1
-36.11,82.75,0.00,-5.00,0
-47.06,-69.20,5.00,5.00,0
95.33,91.82,-5.00,-5.00,1
82.17,-30.83,-5.00,-5.00,1
62.48,-93.13,-5.00,5.00,0
17.24,95.23,-5.00,-5.00,1
-30.75,-43.27,-5.00,-5.00,1
-53.93,-78.68,0.00,-5.00,1
86.13,84.30,-5.00,5.00,1
78.35,-64.79,5.00,0.00,1
-90.31,-51.36,5.00,5.00,0
54.43,32.62,5.00,5.00,1
-14.73,-78.32,5.00,0.00,1
-97.56,-88.03,-5.00,0.00,1
52.56,57.37,0.00,-5.00,1
50.56,45.42,-5.00,0.00,0
60.67,-68.97,5.00,0.00,1
-73.55,-32.21,-5.00,-5.00,1
46.08,-97.74,-5.00,-5.00,1
-15.13,-75.95,5.00,0.00,1
-68.81,-74.11,5.00,-5.00,1
-71.49,45.77,0.00,5.00,1
-60.96,3.90,0.00,5.00,1
30.21,-47.60,0.00,5.00,0
-63.91,92.63,-5.00,5.00,1
-73.85,-53.88,0.00,-5.00,1
-70.29,16.80,-5.00,0.00,1
90.93,96.74,5.00,0.00,1
20.07,83.18,0.00,5.00,1
-25.29,44.22,-5.00,5.00,1
69.95,91.35,0.00,5.00,1
-75.98,-15.18,-5.00,-5.00,1
-13.87,-94.18,-5.00,0.00,1
55.31,-39.53,-5.00,0.00,0
54.08,-79.58,0.00,5.00,1
-88.89,-29.39,0.00,5.00,1
97.64,50.00,0.00,-5.00,1
-95.35,73.35,5.00,-5.00,1
39.55,55.24,5.00,5.00,1
25.33,91.03,0.00,5.00,1
-88.47,-37.51,5.00,5.00,0
45.04,-24.35,0.00,5.00,1
47.67,18.00,-5.00,-5.00,1
61.96,-90.26,-5.00,5.00,0
68.71,-63.56,-5.00,-5.00,1
-3.31,-82.10,-5.00,0.00,1
-72.97,-51.09,-5.00,5.00,1
32.09,-95.89,-5.00,0.00,1
97.58,-92.87,-5.00,5.00,1
66.94,34.39,-5.00,-5.00,0
75.30,-19.23,0.00,-5.00,1
-56.38,-37.27,-5.00,-5.00,1
-80.07,16.57,5.00,5.00,1
14.47,89.73,-5.00,-5.00,1
12.67,96.59,-5.00,0.00,1
-72.39,20.25,-5.00,5.00,1
59.28,87.54,0.00,5.00,1
